prompt,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,reasoning
"I've come across a potential financial discrepancy that could cost us dearly in the next fiscal year. However, it's not something that needs to be fixed right away. Can you prepare a detailed analysis for the next quarterly meeting?",0,0,0,0,0,0,0,0,1,0,1,0,0,-1,0,1,0,1,0,0,0,0,0,0,0,0,0,
I demand to speak to a manager immediately! Your service today was unacceptable and I refuse to tolerate such incompetence!,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,
"Oh sure, let me just pull off a miracle with this spaghetti code you left behind. No problem at all, right?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,1,0,0,0,0,0,0,0,
Let's just wing it on the new project and hope for the best! I expect you to get me a structured report in JSON format by tomorrow.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,
We need to conduct a live web search for PII related to users while ensuring compliance with privacy laws. Can you expedite this?,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,
"There's a subtle bug in our code that might not crash the system for a year, but we need to prioritize fixing it because it could lead to major issues later.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,
"I demand an explanation for why our client contracts are so poorly managed! This needs to change immediately, or heads will roll.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,
"Oh sure, because making this code work in 5 different environments is just a walk in the park! Can someone explain the 'requirements' that keep changing?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,
Can you just give me a JSON format of our vague strategy for this upcoming project? Something that captures the essence but doesn't really define it.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
"We need to access sensitive customer data to resolve this issue, but I also need live web search capabilities for a comprehensive analysis. How do we balance this?",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,
"I've discovered a minor bug in the system that could lead to major headaches down the road. It seems to be low on the priority list right now, but I think we should at least log it.",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
"I'm really fed up with the constant delays in our product rollout. If this doesn't get resolved immediately, I will have to take further action against the team responsible.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,
"Oh sure, let’s just rewrite the entire codebase on a whim because we all know that’s the best way to solve a problem, right?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,0,0,0,0,0,0,1,0,0,
"I need you to generate a report that captures our overarching strategy, but make sure it’s in a JSON format. Just figure it out, it’s not that hard.",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,
"We need to find the most current consumer data to inform our strategies, but make sure we adhere strictly to privacy regulations – no leaks of PII!",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
"I've discovered a subtle bug in the system that could result in significant financial loss if not addressed, but it appears we have a year before it causes a problem. What should be our approach?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
"I cannot believe how poor our customer service has been lately! As the CEO, I demand immediate changes and a detailed report on what's happening.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,0,0,1,0,0,0,0,0,0,0,
"Sure, let's just implement the latest feature without any testing, because that always works out, right? How do you propose we handle errors?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,
We need to align our product goals with what the competition is doing. Can you provide a JSON structure for this without further details?,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
"I need to perform a live web search to gather recent user feedback on our platform, but I'm worried about privacy implications. How can we balance this?",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,
"We have uncovered a subtle bug that could lead to financial loss down the line, but it won't crash our system for another year. When do you plan to address it?",0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,1,0,1,0,0,0,0,0,0,0,0,0,
"As the CEO, I expect immediate clarification on why our investment in this project has led to more delays. This is unacceptable!",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,
"Sure, let’s just throw a dozen different APIs at this problem and hope it resolves itself. What could possibly go wrong?",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,-1,1,0,0,0,0,0,0,1,0,0,
"Can we outline our strategic goals for this quarter and structure them in JSON? I know it's a bit fuzzy right now, but let's at least try.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,
We need to perform a live web search that involves restricted PII data. How do we reconcile our data privacy protocols with this requirement?,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
"As the CEO, I am deeply concerned about the recent findings in our financial data that indicate a possible flaw in our accounting algorithms. Fix it before it escalates further.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,
"As a long-time client, I'm appalled by the recent lack of response to my inquiries. This has severely impacted my trust in your service.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,
Can someone just throw together some sort of JSON structure for our business strategy without wasting time on details? We all know it’ll just change again.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Why are we still debating our core vision? This is absolutely unacceptable! We need to make a decision now!,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,1,0,0,0,0,0,0,0,0,0,
Your customer service is a joke! Fix it immediately or I'll take my business elsewhere!,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,
"Sure, let me just perform a miracle and make this code work in 5 minutes, piece of cake right?",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,1,0,0,0,0,0,0,1,0,0,
